Name,Date,Close,Volume,Market_Cap
Aeternity,"Jul 14, 2018",1.70,"3,963,970","395,697,000"
Aeternity,"Jul 13, 2018",1.70,"6,051,460","390,260,000"
Aeternity,"Jul 12, 2018",1.66,"4,787,970","408,571,000"
Aeternity,"Jul 11, 2018",1.75,"6,136,150","413,581,000"
Aeternity,"Jul 10, 2018",1.76,"7,126,930","466,351,000"
Aeternity,"Jul 09, 2018",2.01,"7,326,140","494,309,000"
Aeternity,"Jul 08, 2018",2.13,"5,602,700","508,187,000"
Aeternity,"Jul 07, 2018",2.18,"5,760,560","502,534,000"
Aeternity,"Jul 06, 2018",2.16,"6,606,360","503,683,000"
Aeternity,"Jul 05, 2018",2.16,"8,318,730","567,027,000"
Aeternity,"Jul 04, 2018",2.41,"16,924,200","480,311,000"
Aeternity,"Jul 03, 2018",2.07,"12,572,500","495,243,000"
Aeternity,"Jul 02, 2018",2.13,"7,878,110","451,950,000"
Bitcoin,"Jul 08, 2018",6773.88,"3,386,210,000","117,522,000,000"
Bitcoin,"Jul 07, 2018",6856.93,"3,961,080,000","114,268,000,000"
Bitcoin,"Jul 06, 2018",6673.50,"4,313,960,000","113,741,000,000"
Nano,"May 30, 2018",4.06,"9,337,210","550,798,000"
Nano,"May 29, 2018",4.13,"12,113,800","472,602,000"
Nano,"May 28, 2018",3.55,"9,196,120","540,201,000"
Nano,"May 27, 2018",4.04,"5,867,250","561,645,000"
Nano,"May 26, 2018",4.22,"2,690,680","579,295,000"
Nano,"May 25, 2018",4.34,"5,173,310","608,277,000"
Nano,"May 24, 2018",4.56,"8,192,180","578,253,000"
Basic Attention Token,"Jun 22, 2018",0.249035,"7,381,380","305,460,000"
Basic Attention Token,"Jun 21, 2018",0.308857,"7,712,090","263,738,000"
Basic Attention Token,"Jun 20, 2018",0.263447,"3,376,880","255,545,000"
Basic Attention Token,"Jun 19, 2018",0.255756,"3,475,430","257,546,000"
Basic Attention Token,"Jun 18, 2018",0.257204,"4,118,300","229,953,000"
Basic Attention Token,"Jun 17, 2018",0.230407,"3,459,530","242,629,000"
Basic Attention Token,"Jun 16, 2018",0.241798,"7,265,280","234,410,000"
Basic Attention Token,"Jun 15, 2018",0.235921,"4,135,940","219,425,000"
ICON,"Jul 15, 2018",1.37,"25,297,100","515,167,000"
Lisk,"Jul 01, 2018",5.40,"6,178,680","572,580,000"
Lisk,"Jun 30, 2018",5.35,"5,954,970","541,073,000"
Lisk,"Jun 29, 2018",5.04,"7,560,270","527,311,000"
Lisk,"Jun 28, 2018",4.92,"6,763,450","567,848,000"
Lisk,"Jun 27, 2018",5.28,"7,105,660","566,250,000"
Lisk,"Jun 26, 2018",5.27,"6,490,590","597,452,000"
Decred,"Jul 15, 2018",63.18,"3,206,810","465,511,000"
Siacoin,"Jun 23, 2018",0.011203,"7,703,920","395,450,000"
Siacoin,"Jun 22, 2018",0.011172,"11,804,400","441,113,000"
Siacoin,"Jun 21, 2018",0.012568,"9,298,840","448,013,000"
Siacoin,"Jun 20, 2018",0.012712,"14,695,500","458,584,000"
Siacoin,"Jun 19, 2018",0.013026,"15,059,400","453,499,000"
Steem,"Jul 15, 2018",1.33,"1,129,470","348,115,000"
Maker,"Jul 15, 2018",573.46,"370,642","372,187,000"
Zilliqa,"Jul 15, 2018",0.069316,"13,781,700","506,977,000"
Bitcoin Gold,"May 03, 2018",76.94,"38,523,900","1,290,690,000"
Bitcoin Gold,"May 02, 2018",75.82,"33,903,200","1,216,440,000"
Bitcoin Gold,"May 01, 2018",71.70,"20,320,400","1,244,080,000"
Bitcoin Gold,"Apr 30, 2018",73.25,"24,958,700","1,335,350,000"
Bitcoin Gold,"Apr 29, 2018",78.32,"47,669,300","1,321,080,000"
Bitcoin Gold,"Apr 28, 2018",77.14,"24,300,200","1,245,570,000"
Bitcoin Gold,"Apr 27, 2018",73.41,"31,251,900","1,344,730,000"
Verge,"Jul 15, 2018",0.023052,"3,730,570","330,460,000"
DigiByte,"Jul 09, 2018",0.038214,"26,241,800","434,431,000"
DigiByte,"Jul 08, 2018",0.041294,"19,414,800","382,786,000"
DigiByte,"Jul 07, 2018",0.036446,"7,912,490","347,673,000"
Elastos,"Jul 15, 2018",17.21,"4,670,650","87,462,900"
Elastos,"Jul 14, 2018",16.66,"2,576,400","87,457,100"
Aeternity,"Jul 01, 2018",1.93,"6,716,010","461,928,000"
Aeternity,"Jun 30, 2018",1.98,"8,135,970","427,427,000"
Aeternity,"Jun 29, 2018",1.83,"4,996,920","394,452,000"
Aeternity,"Jun 28, 2018",1.70,"5,538,540","433,945,000"
Aeternity,"Jun 27, 2018",1.86,"5,326,250","424,135,000"
Aeternity,"Jun 26, 2018",1.82,"5,696,920","453,168,000"
Aeternity,"Jun 25, 2018",1.94,"7,712,770","420,869,000"
Bitcoin,"Jul 05, 2018",6639.14,"4,999,240,000","113,062,000,000"
Bitcoin,"Jul 04, 2018",6597.55,"4,176,690,000","112,214,000,000"
Bitcoin,"Jul 03, 2018",6529.59,"4,672,310,000","112,989,000,000"
Nano,"May 23, 2018",4.34,"12,566,700","649,519,000"
Nano,"May 22, 2018",4.87,"12,616,300","717,854,000"
Nano,"May 21, 2018",5.38,"12,723,000","764,321,000"
Nano,"May 20, 2018",5.71,"9,096,920","737,007,000"
Nano,"May 19, 2018",5.53,"6,332,790","743,870,000"
Nano,"May 18, 2018",5.60,"11,206,400","733,080,000"
Nano,"May 17, 2018",5.48,"8,299,030","802,324,000"
Nano,"May 16, 2018",6.01,"5,302,870","812,820,000"
Basic Attention Token,"Jun 14, 2018",0.219573,"2,641,910","195,050,000"
Basic Attention Token,"Jun 13, 2018",0.195023,"1,606,920","208,681,000"
Basic Attention Token,"Jun 12, 2018",0.208202,"2,402,470","234,054,000"
Basic Attention Token,"Jun 11, 2018",0.233626,"1,920,940","228,179,000"
Basic Attention Token,"Jun 10, 2018",0.228183,"2,505,850","265,738,000"
Basic Attention Token,"Jun 09, 2018",0.265697,"1,578,590","272,348,000"
Basic Attention Token,"Jun 08, 2018",0.272297,"1,643,000","277,543,000"
Basic Attention Token,"Jun 07, 2018",0.277027,"2,101,040","270,451,000"
ICON,"Jul 14, 2018",1.33,"22,364,700","513,889,000"
ICON,"Jul 13, 2018",1.33,"29,076,600","514,350,000"
ICON,"Jul 12, 2018",1.32,"30,114,800","558,959,000"
ICON,"Jul 11, 2018",1.44,"31,598,500","549,955,000"
ICON,"Jul 10, 2018",1.42,"33,099,700","633,958,000"
ICON,"Jul 09, 2018",1.63,"30,941,500","668,249,000"
ICON,"Jul 08, 2018",1.73,"33,087,300","671,403,000"
ICON,"Jul 07, 2018",1.74,"29,012,700","654,441,000"
ICON,"Jul 06, 2018",1.69,"35,597,200","648,455,000"
ICON,"Jul 05, 2018",1.68,"34,453,900","680,124,000"
ICON,"Jul 04, 2018",1.75,"38,892,900","646,297,000"
ICON,"Jul 03, 2018",1.67,"49,457,000","681,561,000"
ICON,"Jul 02, 2018",1.76,"48,343,800","645,941,000"
Lisk,"Jun 25, 2018",5.57,"7,010,470","585,412,000"
Lisk,"Jun 24, 2018",5.47,"7,790,030","605,664,000"
Lisk,"Jun 23, 2018",5.63,"7,248,650","573,532,000"
Lisk,"Jun 22, 2018",5.35,"8,159,990","664,076,000"
Lisk,"Jun 21, 2018",6.25,"7,975,460","680,999,000"
Lisk,"Jun 20, 2018",6.36,"8,584,190","696,289,000"
Lisk,"Jun 19, 2018",6.49,"8,982,000","689,884,000"
Lisk,"Jun 18, 2018",6.45,"10,209,800","671,372,000"
Lisk,"Jun 17, 2018",6.31,"8,341,200","705,380,000"
Decred,"Jul 14, 2018",57.68,"5,765,040","439,614,000"
Decred,"Jul 13, 2018",57.36,"10,925,200","436,487,000"
Decred,"Jul 12, 2018",57.02,"2,790,220","455,779,000"
Decred,"Jul 11, 2018",59.51,"2,386,530","445,023,000"
Decred,"Jul 10, 2018",58.80,"2,794,750","480,776,000"
Siacoin,"Jun 18, 2018",0.012871,"14,669,100","444,243,000"
Siacoin,"Jun 17, 2018",0.012560,"10,447,000","453,956,000"
Siacoin,"Jun 16, 2018",0.012807,"12,795,800","456,340,000"
Siacoin,"Jun 15, 2018",0.013033,"18,809,100","496,184,000"
Steem,"Jul 14, 2018",1.30,"1,394,150","356,366,000"
Steem,"Jul 13, 2018",1.34,"2,472,400","344,457,000"
Steem,"Jul 12, 2018",1.29,"2,137,180","349,063,000"
Steem,"Jul 11, 2018",1.32,"3,332,510","347,666,000"
Maker,"Jul 14, 2018",557.48,"155,067","373,788,000"
Maker,"Jul 13, 2018",558.94,"146,196","372,132,000"
Maker,"Jul 12, 2018",555.98,"336,822","379,337,000"
Maker,"Jul 11, 2018",568.07,"166,170","370,706,000"
Maker,"Jul 10, 2018",554.33,"145,450","380,084,000"
Maker,"Jul 09, 2018",569.57,"65,372","385,146,000"
Maker,"Jul 08, 2018",574.09,"63,922","381,549,000"
Maker,"Jul 07, 2018",571.15,"85,054","365,785,000"
Zilliqa,"Jul 14, 2018",0.067008,"10,842,100","504,739,000"
Zilliqa,"Jul 13, 2018",0.066479,"23,651,300","503,688,000"
Zilliqa,"Jul 12, 2018",0.065423,"20,314,000","523,803,000"
Zilliqa,"Jul 11, 2018",0.068973,"33,218,000","513,886,000"
Zilliqa,"Jul 10, 2018",0.068140,"35,386,700","593,047,000"
Zilliqa,"Jul 09, 2018",0.078674,"33,386,300","637,900,000"
Zilliqa,"Jul 08, 2018",0.084108,"30,611,700","651,795,000"
Zilliqa,"Jul 07, 2018",0.085636,"26,831,300","648,933,000"
Zilliqa,"Jul 06, 2018",0.085353,"53,043,900","648,059,000"
Zilliqa,"Jul 05, 2018",0.085772,"62,863,500","659,885,000"
Zilliqa,"Jul 04, 2018",0.086435,"57,844,200","595,746,000"
Bitcoin Gold,"Apr 26, 2018",79.16,"49,274,200","1,211,110,000"
Bitcoin Gold,"Apr 25, 2018",70.91,"89,533,400","1,428,340,000"
Bitcoin Gold,"Apr 24, 2018",84.84,"148,078,000","1,322,500,000"
Bitcoin Gold,"Apr 23, 2018",77.83,"114,377,000","1,116,620,000"
Bitcoin Gold,"Apr 22, 2018",66.00,"25,525,000","1,130,070,000"
Bitcoin Gold,"Apr 21, 2018",66.65,"48,952,400","1,185,840,000"
Bitcoin Gold,"Apr 20, 2018",69.56,"70,074,100","1,015,290,000"
Bitcoin Gold,"Apr 19, 2018",59.93,"37,101,100","938,127,000"
